case,CL_max,alpha_CLmax_deg,CM_min,CD_max,aero_damping_Xi,aero_damping_Xi_norm,flutter_risk
A_validation,1.912,17.49,-0.236,0.257,-0.00066,-0.008,neutral (within model resolution)
B_application,1.742,15.82,-0.209,0.175,-4e-05,-0.0007,neutral (within model resolution)
