x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.04332,-0.6324,82.573,32.096,88.592,0.1509,288.101,291.586,0.2604,0.08
-0.0361,-0.6324,82.55,32.01,88.539,0.1519,288.106,291.587,0.2602,0.08
-0.02888,-0.6324,82.528,31.923,88.487,0.153,288.111,291.587,0.26,0.08
-0.02166,-0.6324,82.508,31.835,88.437,0.154,288.115,291.588,0.2599,0.08
-0.01444,-0.6324,82.49,31.747,88.388,0.155,288.119,291.588,0.2598,0.08
-0.00722,-0.6324,82.473,31.657,88.341,0.1559,288.123,291.588,0.2596,0.09
0.0,-0.6324,82.459,31.568,88.295,0.1568,288.127,291.589,0.2595,0.09
0.00722,-0.6324,82.446,31.477,88.251,0.1577,288.131,291.589,0.2593,0.09
0.01444,-0.6324,82.436,31.386,88.209,0.1586,288.135,291.59,0.2592,0.09
0.02166,-0.6324,82.427,31.295,88.168,0.1594,288.139,291.59,0.2591,0.09
0.02888,-0.6324,82.421,31.203,88.129,0.1601,288.142,291.59,0.259,0.09
0.0361,-0.6324,82.416,31.111,88.093,0.1609,288.145,291.591,0.2589,0.09
0.04332,-0.6324,82.413,31.019,88.058,0.1616,288.148,291.591,0.2588,0.09
0.05053,-0.6324,82.413,30.927,88.024,0.1622,288.151,291.591,0.2587,0.09
0.05775,-0.6324,82.414,30.834,87.993,0.1629,288.154,291.592,0.2586,0.09
0.06497,-0.6324,82.418,30.741,87.964,0.1634,288.156,291.592,0.2585,0.09
0.07219,-0.6324,82.423,30.649,87.937,0.164,288.159,291.592,0.2584,0.09
0.07941,-0.6324,82.431,30.556,87.912,0.1645,288.161,291.593,0.2583,0.09
0.08663,-0.6324,82.44,30.464,87.889,0.165,288.163,291.593,0.2583,0.09
0.09385,-0.6324,82.452,30.371,87.868,0.1654,288.165,291.593,0.2582,0.09
0.10107,-0.6324,82.466,30.279,87.849,0.1657,288.167,291.593,0.2581,0.09
0.10829,-0.6324,82.482,30.188,87.832,0.1661,288.168,291.593,0.2581,0.09
0.11551,-0.6324,82.499,30.096,87.818,0.1664,288.169,291.593,0.2581,0.09
0.12273,-0.6324,82.519,30.005,87.805,0.1666,288.17,291.594,0.258,0.08
0.12995,-0.6324,82.541,29.915,87.795,0.1668,288.171,291.594,0.258,0.08
0.13716,-0.6324,82.565,29.825,87.787,0.167,288.172,291.594,0.258,0.08
0.14438,-0.6324,82.591,29.736,87.781,0.1671,288.173,291.594,0.2579,0.08
0.1516,-0.6324,82.618,29.648,87.777,0.1672,288.173,291.594,0.2579,0.08
0.15882,-0.6324,82.648,29.56,87.775,0.1672,288.173,291.594,0.2579,0.07
0.16604,-0.6324,82.68,29.473,87.776,0.1672,288.173,291.594,0.2579,0.07
0.17326,-0.6324,82.713,29.387,87.778,0.1672,288.173,291.594,0.2579,0.07
0.18048,-0.6324,82.748,29.302,87.783,0.1671,288.172,291.594,0.258,0.07
0.1877,-0.6324,82.785,29.218,87.79,0.1669,288.172,291.594,0.258,0.06
0.19492,-0.6324,82.824,29.135,87.799,0.1667,288.171,291.594,0.258,0.06
0.20214,-0.6324,82.865,29.054,87.81,0.1665,288.17,291.593,0.258,0.06
0.20936,-0.6324,82.907,28.973,87.823,0.1663,288.169,291.593,0.2581,0.05
0.21658,-0.6324,82.951,28.894,87.839,0.166,288.167,291.593,0.2581,0.05
0.22379,-0.6324,82.996,28.815,87.856,0.1656,288.166,291.593,0.2582,0.05
0.23101,-0.6324,83.043,28.738,87.875,0.1652,288.164,291.593,0.2582,0.04
0.23823,-0.6324,83.091,28.663,87.896,0.1648,288.162,291.593,0.2583,0.04
0.24545,-0.6324,83.141,28.589,87.919,0.1643,288.16,291.592,0.2584,0.03
0.25267,-0.6324,83.193,28.516,87.944,0.1638,288.158,291.592,0.2584,0.03
