x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.0361,-0.6324,81.076,27.9,85.742,0.1849,288.33,291.609,0.2519,0.14
-0.02888,-0.6324,81.041,27.801,85.677,0.1861,288.336,291.61,0.2517,0.14
-0.02166,-0.6324,81.008,27.701,85.613,0.1873,288.341,291.61,0.2515,0.14
-0.01444,-0.6324,80.976,27.599,85.551,0.1885,288.346,291.611,0.2513,0.14
-0.00722,-0.6324,80.947,27.498,85.49,0.1897,288.351,291.612,0.2511,0.14
0.0,-0.6324,80.92,27.395,85.431,0.1908,288.356,291.612,0.251,0.15
0.00722,-0.6324,80.895,27.292,85.374,0.1919,288.361,291.613,0.2508,0.15
0.01444,-0.6324,80.872,27.188,85.319,0.1929,288.366,291.613,0.2506,0.15
0.02166,-0.6324,80.851,27.083,85.266,0.1939,288.37,291.613,0.2505,0.15
0.02888,-0.6324,80.832,26.978,85.215,0.1949,288.375,291.614,0.2503,0.15
0.0361,-0.6324,80.815,26.873,85.166,0.1958,288.379,291.614,0.2502,0.15
0.04332,-0.6324,80.8,26.767,85.118,0.1967,288.383,291.615,0.25,0.15
0.05053,-0.6324,80.787,26.661,85.073,0.1976,288.387,291.615,0.2499,0.15
0.05775,-0.6324,80.777,26.554,85.03,0.1984,288.391,291.616,0.2498,0.15
0.06497,-0.6324,80.769,26.448,84.989,0.1992,288.394,291.616,0.2496,0.15
0.07219,-0.6324,80.763,26.341,84.95,0.1999,288.397,291.616,0.2495,0.15
0.07941,-0.6324,80.758,26.235,84.913,0.2006,288.4,291.617,0.2494,0.15
0.08663,-0.6324,80.757,26.128,84.878,0.2012,288.403,291.617,0.2493,0.15
0.09385,-0.6324,80.757,26.022,84.846,0.2018,288.406,291.617,0.2492,0.15
0.10107,-0.6324,80.759,25.916,84.815,0.2024,288.409,291.617,0.2491,0.15
0.10829,-0.6324,80.764,25.81,84.787,0.2029,288.411,291.618,0.249,0.15
0.11551,-0.6324,80.77,25.704,84.761,0.2034,288.413,291.618,0.249,0.14
0.12273,-0.6324,80.779,25.598,84.738,0.2039,288.415,291.618,0.2489,0.14
0.12995,-0.6324,80.789,25.493,84.716,0.2043,288.417,291.618,0.2488,0.14
0.13716,-0.6324,80.802,25.389,84.697,0.2046,288.419,291.618,0.2488,0.14
0.14438,-0.6324,80.817,25.285,84.68,0.205,288.42,291.619,0.2487,0.14
0.1516,-0.6324,80.833,25.181,84.665,0.2052,288.421,291.619,0.2487,0.13
0.15882,-0.6324,80.852,25.078,84.652,0.2055,288.422,291.619,0.2486,0.13
0.16604,-0.6324,80.873,24.976,84.641,0.2057,288.423,291.619,0.2486,0.13
0.17326,-0.6324,80.895,24.875,84.633,0.2058,288.424,291.619,0.2486,0.13
0.18048,-0.6324,80.919,24.774,84.627,0.206,288.425,291.619,0.2486,0.12
0.1877,-0.6324,80.945,24.674,84.623,0.206,288.425,291.619,0.2486,0.12
0.19492,-0.6324,80.973,24.575,84.62,0.2061,288.425,291.619,0.2486,0.12
0.20214,-0.6324,81.003,24.477,84.62,0.2061,288.425,291.619,0.2486,0.11
0.20936,-0.6324,81.034,24.38,84.622,0.206,288.425,291.619,0.2486,0.11
0.21658,-0.6324,81.067,24.284,84.626,0.206,288.425,291.619,0.2486,0.11
0.22379,-0.6324,81.102,24.189,84.632,0.2059,288.424,291.619,0.2486,0.1
0.23101,-0.6324,81.138,24.095,84.64,0.2057,288.423,291.619,0.2486,0.1
0.23823,-0.6324,81.176,24.002,84.65,0.2055,288.423,291.619,0.2486,0.1
0.24545,-0.6324,81.215,23.911,84.662,0.2053,288.422,291.619,0.2487,0.09
0.25267,-0.6324,81.256,23.82,84.676,0.205,288.42,291.619,0.2487,0.09
0.25989,-0.6324,81.298,23.731,84.691,0.2048,288.419,291.619,0.2488,0.09
0.26711,-0.6324,81.342,23.643,84.708,0.2044,288.418,291.618,0.2488,0.08
0.27433,-0.6324,81.387,23.556,84.727,0.2041,288.416,291.618,0.2489,0.08
0.28155,-0.6324,81.433,23.47,84.748,0.2037,288.414,291.618,0.2489,0.08
0.28877,-0.6324,81.48,23.386,84.77,0.2033,288.412,291.618,0.249,0.07
0.29599,-0.6324,81.529,23.303,84.794,0.2028,288.41,291.618,0.2491,0.07
0.30321,-0.6324,81.579,23.222,84.819,0.2023,288.408,291.617,0.2491,0.07
0.31042,-0.6324,81.63,23.141,84.846,0.2018,288.406,291.617,0.2492,0.06
0.31764,-0.6324,81.681,23.062,84.875,0.2013,288.404,291.617,0.2493,0.06
0.32486,-0.6324,81.734,22.985,84.905,0.2007,288.401,291.617,0.2494,0.06
0.33208,-0.6324,81.788,22.909,84.936,0.2001,288.398,291.616,0.2495,0.05
0.3393,-0.6324,81.843,22.834,84.969,0.1995,288.396,291.616,0.2496,0.05
0.34652,-0.6324,81.899,22.761,85.003,0.1989,288.393,291.616,0.2497,0.05
0.35374,-0.6324,81.955,22.689,85.038,0.1982,288.39,291.615,0.2498,0.04
0.36096,-0.6324,82.013,22.618,85.074,0.1975,288.387,291.615,0.2499,0.04
0.36818,-0.6324,82.071,22.549,85.112,0.1968,288.384,291.615,0.25,0.04
0.3754,-0.6324,82.13,22.481,85.151,0.1961,288.38,291.615,0.2501,0.03
0.38262,-0.6324,82.189,22.415,85.191,0.1953,288.377,291.614,0.2502,0.03
0.38984,-0.6324,82.249,22.35,85.232,0.1946,288.373,291.614,0.2504,0.03
0.39705,-0.6324,82.31,22.286,85.274,0.1938,288.37,291.613,0.2505,0.02
0.40427,-0.6324,82.371,22.224,85.316,0.193,288.366,291.613,0.2506,0.02
0.41149,-0.6324,82.433,22.163,85.36,0.1921,288.362,291.613,0.2508,0.02
0.41871,-0.6324,82.495,22.104,85.405,0.1913,288.359,291.612,0.2509,0.02
0.42593,-0.6324,82.558,22.046,85.451,0.1904,288.355,291.612,0.251,0.01
0.43315,-0.6324,82.621,21.99,85.497,0.1895,288.351,291.611,0.2512,0.01
0.44037,-0.6324,82.684,21.934,85.544,0.1886,288.347,291.611,0.2513,0.01
0.44759,-0.6324,82.748,21.881,85.592,0.1877,288.343,291.611,0.2514,0.01
0.45481,-0.6324,82.812,21.828,85.641,0.1868,288.339,291.61,0.2516,0.0
0.46203,-0.6324,82.877,21.777,85.69,0.1859,288.334,291.61,0.2517,0.0
0.46925,-0.6324,82.941,21.727,85.74,0.1849,288.33,291.609,0.2519,0.0
0.47647,-0.6324,83.006,21.679,85.791,0.184,288.326,291.609,0.252,-0.0
0.48368,-0.6324,83.071,21.632,85.842,0.183,288.321,291.608,0.2522,-0.0
0.4909,-0.6324,83.137,21.586,85.893,0.182,288.317,291.608,0.2523,-0.01
0.49812,-0.6324,83.202,21.541,85.945,0.181,288.313,291.607,0.2525,-0.01
0.50534,-0.6324,83.268,21.498,85.998,0.18,288.308,291.607,0.2526,-0.01
0.51256,-0.6324,83.333,21.456,86.051,0.179,288.304,291.607,0.2528,-0.01
